consent,focus_duration_single_task,main_distractions_multi,tired_even_without_hard_work,frustration_cant_stay_focused,busy_all_day_accomplish_little,behaviour_alignment,values_alignment_focus_effect,distraction_strategies_multi,focus_improvement_change_open,lose_focus_feeling_one_word,age_group,gender,work_status,country,values_top3_confidence,values_top3_open_1,values_top3_open_2,values_top3_open_3
yes,21_30_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,sometimes,sometimes,sometimes,neutral,neutral,scheduling_focus_time_timers;taking_breaks_exercise,I would try to eliminate external distractions as much as possible.,Ashamed,age_25_34,man,employed_full_time,uk,yes_definitely,honesty,,
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;multitasking_switching_tasks,rarely,rarely,rarely,neutral,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise,allowing other people to take ownership of things,frustrated,age_35_44,woman,employed_part_time,uk,somewhat,integrity,kindness_compassion,fairness
yes,5_10_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,often,almost_always,often,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,less paperwork,frustrated,age_55_plus,man,employed_full_time,uk,not_really,family,,
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries;smartphone_notifications,often,often,often,somewhat_misaligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,Able to concentrate for longer,Disappointed,age_45_54,man,employed_full_time,uk,somewhat,honesty,,
yes,11_20_minutes,internal_thoughts_worries;smartphone_notifications;social_media_scrolling,often,almost_always,often,somewhat_aligned,somewhat_more_focused,none_of_the_above,to be able to concentrate/think about  one thing at a time,frustrated,age_55_plus,woman,other,uk,not_really,honesty,,trust
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;smartphone_notifications,sometimes,often,sometimes,neutral,much_more_focused_energized,taking_breaks_exercise,I would be able to block out my internal thoughts/worries better.,Frustrated,age_45_54,woman,self_employed,uk,somewhat,family,kindness_compassion,honesty
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,rarely,sometimes,rarely,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,If I had better eyesight I think I could focus for longer.,Restless.,age_35_44,man,self_employed,uk,not_really,family,,honesty
yes,11_20_minutes,internal_thoughts_worries;multitasking_switching_tasks;smartphone_notifications,sometimes,rarely,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Try to be more diligent and disciplined when performing tasks,Annoyed,age_55_plus,woman,other,uk,not_really,,,kindness_compassion
yes,more_than_30_minutes,internal_thoughts_worries;multitasking_switching_tasks,sometimes,sometimes,rarely,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Help with my aging mother.  I am the only one that helps her because my brother and sister wont.,deflated,age_45_54,woman,employed_part_time,us,yes_definitely,trust,,
yes,21_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,often,somewhat_misaligned,much_more_focused_energized,none_of_the_above,Browsing social media,Frustration,age_35_44,woman,unemployed,uk,not_really,honesty,trust,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,rarely,somewhat_aligned,much_more_focused_energized,silencing_notifications;working_in_quiet_spaces,Quieter environment.,Frustrated,age_55_plus,man,self_employed,uk,yes_definitely,trust,honesty,integrity
yes,21_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,sometimes,almost_always,sometimes,neutral,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise;using_apps_block_distractions,working a 4 day week,annoyed,age_25_34,woman,employed_full_time,uk,somewhat,family,,
yes,11_20_minutes,email_messaging_apps;multitasking_switching_tasks;other,rarely,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,To have more work I enjoy so I want to stay focused on it. Feeling more refreshed after sleep so my eyes don't feel so tired.,Tired,age_45_54,woman,self_employed,uk,somewhat,kindness_compassion,honesty,
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;other,sometimes,sometimes,sometimes,neutral,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,not sure,frustrated.,age_45_54,man,employed_part_time,ie,not_really,fairness,,
yes,21_30_minutes,background_noise_environment;smartphone_notifications,often,often,often,somewhat_aligned,no_difference,taking_breaks_exercise;working_in_quiet_spaces,It would be to stop focusing on small noises these are likely nothing when I hear a noise I always check what it is,distracted,age_35_44,man,employed_full_time,uk,somewhat,honesty,loyalty,trust
yes,more_than_30_minutes,background_noise_environment;social_media_scrolling,rarely,often,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,It would to be able to hyper focus more so i could completely block out external distractions. I am trying to do this more as it really does help when completing a task and helps concentration.,frustrated,age_35_44,woman,employed_part_time,uk,somewhat,honesty,hard_work_diligence,hard_work_diligence
yes,5_10_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,often,almost_always,not_aligned_at_all,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise,comparmentalise tasks ans short bursts of focus time,lost,age_55_plus,man,employed_full_time,uk,not_at_all,family,,
yes,21_30_minutes,internal_thoughts_worries,sometimes,rarely,sometimes,somewhat_aligned,neutral,taking_breaks_exercise;working_in_quiet_spaces,reverse the aging process,unhappy,age_55_plus,man,other,uk,somewhat,honesty,loyalty,hard_work_diligence
yes,5_10_minutes,colleagues_family_friends;email_messaging_apps;multitasking_switching_tasks,rarely,sometimes,rarely,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;working_in_quiet_spaces,I would move out of the city to the countryside,annoyed,age_35_44,man,employed_full_time,uk,somewhat,integrity,,
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;multitasking_switching_tasks,often,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Needing to be contacted less.,Frustrated,age_18_24,man,self_employed,uk,somewhat,hard_work_diligence,honesty,
yes,5_10_minutes,internal_thoughts_worries,rarely,sometimes,sometimes,somewhat_aligned,neutral,aligning_tasks_with_priorities_values,"My ability to focus isn't too bad, but if I do become distracted I mostly just 'tell myself' to get on with it, then do it",Distracted,age_55_plus,man,employed_full_time,uk,somewhat,,integrity,
yes,5_10_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,rarely,often,rarely,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values,I would make myself have quiet time.,Too relaxed,age_55_plus,woman,employed_full_time,uk,not_really,family,,
yes,less_than_5_minutes,background_noise_environment;colleagues_family_friends,sometimes,sometimes,rarely,somewhat_misaligned,somewhat_more_focused,silencing_notifications;working_in_quiet_spaces,A more quiet private place to concentrate,Frustrated,age_45_54,woman,employed_part_time,uk,not_at_all,kindness_compassion,honesty,loyalty
yes,more_than_30_minutes,background_noise_environment;email_messaging_apps;smartphone_notifications,rarely,rarely,sometimes,very_strongly_aligned,neutral,taking_breaks_exercise,Not get tired.,Frustrated,age_45_54,man,self_employed,uk,not_really,integrity,,
yes,5_10_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,often,often,often,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,The amount of interests and hobbies is too much. This causes more distractions,Annoyed,age_25_34,man,self_employed,au,not_really,hard_work_diligence,integrity,
yes,more_than_30_minutes,background_noise_environment,sometimes,often,rarely,somewhat_misaligned,no_difference,working_in_quiet_spaces,more sleep,angry,age_55_plus,man,employed_full_time,us,not_really,kindness_compassion,,
yes,more_than_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,very_strongly_aligned,no_difference,silencing_notifications;taking_breaks_exercise,Stop myself going straight to my phone to check a notification,frustrated,age_55_plus,woman,unemployed,uk,yes_definitely,honesty,integrity,family
yes,21_30_minutes,social_media_scrolling,rarely,rarely,rarely,somewhat_aligned,neutral,taking_breaks_exercise,time,dreamy,age_55_plus,woman,employed_part_time,uk,somewhat,family,,
yes,more_than_30_minutes,internal_thoughts_worries;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,often,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise,work in silence,frustrated,age_45_54,woman,self_employed,uk,somewhat,honesty,,
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;email_messaging_apps,rarely,sometimes,sometimes,very_strongly_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;using_apps_block_distractions,I wish I could be impervious to background noise that can distract me. It seems many of my colleagues aren't bothered by it.,Frustrated,age_45_54,man,employed_full_time,uk,yes_definitely,honesty,,
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries;smartphone_notifications,sometimes,often,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,"I would make sure only certain notifications on my smartphone are allowed, and silencing most others",Frustrated,age_35_44,man,self_employed,nz,yes_definitely,,kindness_compassion,integrity
yes,more_than_30_minutes,colleagues_family_friends,never,often,rarely,somewhat_aligned,somewhat_more_focused,none_of_the_above,"I wouldnt. My main distraction is constant and its my children. I cant change it and I manage to work through it. They are constantly on me, always asking things, always making noise. I got used to it and I know it will get better.",Frustrated,age_35_44,woman,employed_full_time,uk,yes_definitely,,,kindness_compassion
yes,21_30_minutes,colleagues_family_friends;internal_thoughts_worries;smartphone_notifications,sometimes,sometimes,often,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise,Switch off thoughts in my head,Annoyed,age_55_plus,woman,unemployed,uk,not_really,family,,
yes,11_20_minutes,internal_thoughts_worries;multitasking_switching_tasks,almost_always,often,sometimes,very_strongly_aligned,somewhat_more_focused,taking_breaks_exercise;using_apps_block_distractions;working_in_quiet_spaces,To be clear headed and less mental chatter about the next thing to do.,foggy,age_45_54,woman,self_employed,uk,yes_definitely,honesty,,
yes,21_30_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,often,sometimes,often,not_aligned_at_all,no_difference,working_in_quiet_spaces,Work away from others,Annoyed,age_35_44,man,employed_full_time,uk,not_really,,,kindness_compassion
yes,5_10_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,often,often,almost_always,very_strongly_aligned,neutral,silencing_notifications;taking_breaks_exercise,my memory i keep thinking of other things i need to do and then swap to that but forget to finish the first thing,annoyed,age_45_54,woman,self_employed,uk,not_at_all,family,,
yes,more_than_30_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;using_apps_block_distractions,Phone distractions eliminated,Multi-tasking,age_18_24,woman,employed_full_time,uk,somewhat,,honesty,hard_work_diligence
yes,11_20_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,often,often,sometimes,somewhat_aligned,much_more_focused_energized,taking_breaks_exercise;working_in_quiet_spaces,To have somewhere to work with no distractions.,Frustrated,age_35_44,woman,self_employed,uk,somewhat,,,kindness_compassion
yes,more_than_30_minutes,colleagues_family_friends,rarely,rarely,never,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,to sleep more,annoyed,age_35_44,woman,employed_full_time,uk,yes_definitely,honesty,,
yes,more_than_30_minutes,colleagues_family_friends;multitasking_switching_tasks;social_media_scrolling,often,sometimes,sometimes,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,"I would silence my smartphone and remove all social media from it, but I use these to keep in contact from friends and family so don't want to delete altogether",Disappointed,age_18_24,woman,employed_part_time,uk,yes_definitely,family,,
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;social_media_scrolling,rarely,rarely,rarely,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;working_in_quiet_spaces,to prevent scrolling through social media,distracted,age_18_24,woman,student,uk,somewhat,,hard_work_diligence,
yes,21_30_minutes,internal_thoughts_worries;smartphone_notifications;social_media_scrolling,often,often,often,neutral,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise,remove the temptation of my phone so that I can't absentmindedly reach for it to check notifications/scroll,frustrated,age_35_44,woman,employed_part_time,uk,somewhat,honesty,loyalty,integrity
yes,11_20_minutes,background_noise_environment;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,no_difference,aligning_tasks_with_priorities_values;taking_breaks_exercise,"To not have so many distractions around me, work in silence but that's not always possible",Frustrated,age_35_44,woman,employed_part_time,uk,yes_definitely,kindness_compassion,honesty,kindness_compassion
yes,less_than_5_minutes,internal_thoughts_worries;social_media_scrolling,often,almost_always,often,not_aligned_at_all,neutral,taking_breaks_exercise,Not sure at this point.,Frustrated,age_18_24,man,employed_full_time,uk,not_at_all,loyalty,,
yes,5_10_minutes,internal_thoughts_worries;smartphone_notifications;social_media_scrolling,often,almost_always,almost_always,neutral,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,I would change checking my phone so often,guilty,age_25_34,woman,employed_part_time,ca,somewhat,kindness_compassion,,loyalty
yes,21_30_minutes,background_noise_environment;colleagues_family_friends;internal_thoughts_worries,sometimes,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,Greater ambient quiet would help.,Frustration,age_55_plus,man,other,uk,somewhat,,kindness_compassion,integrity
yes,5_10_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,often,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Make sure people don't interrupt me during times I Need to focus.,Frustrated,age_35_44,woman,employed_full_time,au,not_really,honesty,kindness_compassion,
yes,21_30_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,sometimes,sometimes,almost_always,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,not looking at my phone,frustrated,age_25_34,woman,employed_full_time,uk,somewhat,honesty,,
yes,more_than_30_minutes,multitasking_switching_tasks;smartphone_notifications,rarely,often,rarely,very_strongly_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise,"Having the option to work alone, or from home - away from disruptive colleagues.",Frustrated,age_25_34,man,employed_full_time,uk,yes_definitely,honesty,,
yes,more_than_30_minutes,colleagues_family_friends;multitasking_switching_tasks,rarely,sometimes,sometimes,neutral,somewhat_more_focused,scheduling_focus_time_timers,Have more of a routine,annoyed,age_55_plus,woman,employed_part_time,uk,somewhat,,,
yes,21_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,sometimes,sometimes,rarely,somewhat_aligned,neutral,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,"Being more ""head strong"" and not giving into the temptation of looking at my phone.","I feel frustrated when I get back to focus, because I'm aware I wasted time",age_25_34,woman,student,uk,somewhat,honesty,loyalty,
yes,21_30_minutes,background_noise_environment;smartphone_notifications;social_media_scrolling,often,sometimes,sometimes,very_strongly_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,Finding quiet places where I  won't feel bored or distracted,"Agitated, anxious, needing to move",age_25_34,woman,employed_full_time,uk,yes_definitely,kindness_compassion,honesty,
yes,5_10_minutes,colleagues_family_friends;email_messaging_apps;multitasking_switching_tasks,sometimes,often,often,neutral,no_difference,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Switching off notifications,Deflated,age_25_34,man,employed_full_time,au,not_really,integrity,honesty,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;smartphone_notifications,rarely,rarely,rarely,very_strongly_aligned,much_more_focused_energized,silencing_notifications;working_in_quiet_spaces,Create more designated time,Agitated,age_45_54,man,employed_full_time,us,yes_definitely,,,loyalty
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,rarely,rarely,sometimes,very_strongly_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,To stop my mind wandering to personal issues.,Frustrated,age_55_plus,man,other,uk,somewhat,family,,
yes,11_20_minutes,background_noise_environment;colleagues_family_friends;internal_thoughts_worries,sometimes,sometimes,often,neutral,somewhat_more_focused,silencing_notifications,I would work in a quiet space away from distractions and noise.,Frustrated,age_35_44,man,employed_part_time,uk,not_really,,,
yes,5_10_minutes,background_noise_environment;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Quieter environment,frustrated,age_45_54,woman,other,au,somewhat,,,fairness
yes,21_30_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,often,often,often,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,Have a quiet space in which to work,Frustrated,age_45_54,man,unemployed,uk,somewhat,kindness_compassion,,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends,rarely,rarely,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,be prepared and be energised,disappointed,age_25_34,man,employed_full_time,uk,yes_definitely,honesty,kindness_compassion,trust
yes,21_30_minutes,background_noise_environment;colleagues_family_friends,sometimes,rarely,sometimes,somewhat_aligned,much_more_focused_energized,taking_breaks_exercise;working_in_quiet_spaces,Have a space where my family isn't going to distract me while I'm working on important things.,Agitated,age_25_34,man,employed_full_time,uk,somewhat,honesty,,
yes,21_30_minutes,colleagues_family_friends;internal_thoughts_worries,sometimes,sometimes,almost_always,somewhat_misaligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Have my own office or workshop,Irritated,age_45_54,man,employed_full_time,us,somewhat,family,,loyalty
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps,rarely,rarely,rarely,neutral,no_difference,taking_breaks_exercise;working_in_quiet_spaces,limit distractions,tired,age_55_plus,man,employed_part_time,uk,not_at_all,,honesty,
yes,11_20_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;using_apps_block_distractions;working_in_quiet_spaces,Be less easily distracted.,frustrated,age_35_44,man,employed_full_time,uk,somewhat,honesty,,
yes,more_than_30_minutes,email_messaging_apps;smartphone_notifications,sometimes,rarely,rarely,somewhat_aligned,neutral,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Not have a smartphone,frustrated,age_45_54,man,self_employed,uk,somewhat,,kindness_compassion,
yes,21_30_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,often,often,often,not_aligned_at_all,much_more_focused_energized,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Improving my focus greatly,Frustrated,age_25_34,man,employed_full_time,uk,somewhat,,,kindness_compassion
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;internal_thoughts_worries,often,almost_always,almost_always,neutral,much_more_focused_energized,none_of_the_above,Have more relaxing time,Frustrated,age_45_54,woman,self_employed,uk,yes_definitely,family,,
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;social_media_scrolling,never,often,rarely,neutral,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,Less worries about life,Disappointed,age_25_34,man,employed_full_time,au,not_really,,fairness,
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks;social_media_scrolling,sometimes,often,often,somewhat_aligned,neutral,none_of_the_above,stop social media,annoyed,age_25_34,woman,employed_full_time,uk,somewhat,kindness_compassion,,
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks,rarely,rarely,rarely,very_strongly_aligned,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,Remove my constant tinnitus,Frustration,age_55_plus,man,employed_full_time,uk,yes_definitely,honesty,kindness_compassion,kindness_compassion
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;multitasking_switching_tasks,rarely,rarely,rarely,very_strongly_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,The ability to worry less about small problems in my life,frustrated,age_55_plus,woman,other,uk,somewhat,honesty,integrity,kindness_compassion
yes,11_20_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,often,often,often,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,No unnecessary notifications during the day,Annoyed,age_25_34,man,employed_full_time,uk,somewhat,family,,
yes,11_20_minutes,colleagues_family_friends;internal_thoughts_worries;multitasking_switching_tasks,often,almost_always,often,neutral,somewhat_more_focused,taking_breaks_exercise,Reduce number of meetings and interruptions from colleagues,Frustrated,age_55_plus,man,employed_full_time,us,somewhat,,,
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;smartphone_notifications,sometimes,never,sometimes,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise,keeping my phones away entirely,dejected,age_35_44,man,employed_full_time,uk,yes_definitely,honesty,,hard_work_diligence
yes,11_20_minutes,background_noise_environment;multitasking_switching_tasks;social_media_scrolling,often,often,sometimes,somewhat_misaligned,no_difference,aligning_tasks_with_priorities_values;taking_breaks_exercise,I would swap my smartphone for a simple phone to avoid distractions.,Lost,age_25_34,man,employed_part_time,uk,somewhat,,,
yes,more_than_30_minutes,background_noise_environment;email_messaging_apps;internal_thoughts_worries,rarely,often,sometimes,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Not living on a busy A road as the noise from traffic is the biggest distraction,frustrated,age_55_plus,woman,self_employed,uk,somewhat,kindness_compassion,kindness_compassion,honesty
yes,21_30_minutes,background_noise_environment;email_messaging_apps;multitasking_switching_tasks,rarely,often,sometimes,neutral,much_more_focused_energized,silencing_notifications;working_in_quiet_spaces,To turn off my phone,Frustrated,age_35_44,woman,employed_part_time,uk,somewhat,integrity,,
yes,21_30_minutes,background_noise_environment;other,sometimes,rarely,rarely,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,I'd like to be able to stop my mind wandering back to recent conversations on social media,distracted,age_45_54,woman,self_employed,uk,not_at_all,,,
yes,more_than_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,rarely,sometimes,sometimes,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;working_in_quiet_spaces,I would switch my phone off for lengthy periods during the day.,Frustrated,age_45_54,woman,employed_part_time,uk,somewhat,hard_work_diligence,hard_work_diligence,
yes,21_30_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_misaligned,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise,"I would put my phone in a different room whilst im trying to do something for a period of time, and set myself a small amount of time that i am allowed to use it.",frustrated,age_25_34,man,employed_full_time,uk,not_really,,,kindness_compassion
yes,more_than_30_minutes,internal_thoughts_worries;multitasking_switching_tasks,rarely,rarely,sometimes,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,make work less of a chore or something that has to be done to something i actually want to do,resigned,age_45_54,man,self_employed,uk,somewhat,,,
yes,5_10_minutes,internal_thoughts_worries;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values,Remove smartphone,Frustrated,age_25_34,man,employed_full_time,uk,somewhat,honesty,hard_work_diligence,kindness_compassion
yes,11_20_minutes,internal_thoughts_worries,sometimes,rarely,sometimes,very_strongly_aligned,no_difference,aligning_tasks_with_priorities_values;taking_breaks_exercise,I can't think of anything. I simply accept that I find it hard to concentrate sometimes.,acceptance,age_55_plus,woman,employed_part_time,uk,somewhat,,,
yes,21_30_minutes,background_noise_environment;multitasking_switching_tasks;smartphone_notifications,often,often,often,neutral,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,"Id have less tasks to do, with the remaining tasks ones that i deeply care about",Frustrated,age_25_34,man,employed_full_time,uk,yes_definitely,family,,
yes,5_10_minutes,colleagues_family_friends;multitasking_switching_tasks;other,sometimes,sometimes,sometimes,somewhat_aligned,neutral,aligning_tasks_with_priorities_values;taking_breaks_exercise,Can focus more easily if on my own. Silence definitely helps.,Irritated,age_55_plus,woman,other,uk,not_really,,,
yes,5_10_minutes,colleagues_family_friends;email_messaging_apps;internal_thoughts_worries,often,often,often,somewhat_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,I need to do meditation because that helps me. I have been diagnosed with ADHD and have terrible problems with focus,Frustration,age_55_plus,man,other,uk,yes_definitely,,,kindness_compassion
yes,more_than_30_minutes,colleagues_family_friends;internal_thoughts_worries,sometimes,often,sometimes,very_strongly_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,Stop worrying,Frustrated,age_55_plus,man,employed_part_time,uk,somewhat,honesty,kindness_compassion,family
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends,rarely,sometimes,rarely,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;working_in_quiet_spaces,My family  demands,Frustrated,age_55_plus,woman,other,uk,yes_definitely,loyalty,honesty,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;email_messaging_apps;social_media_scrolling,rarely,often,rarely,very_strongly_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise,I would like for it to be harder to distract me when I am focused.,Distracted,age_25_34,man,employed_full_time,uk,somewhat,honesty,,
yes,5_10_minutes,email_messaging_apps;internal_thoughts_worries;multitasking_switching_tasks,sometimes,sometimes,rarely,somewhat_misaligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Shut out intrusive thoughts.,Disappointed,age_45_54,woman,employed_full_time,uk,somewhat,honesty,,
yes,11_20_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,sometimes,somewhat_aligned,no_difference,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Train my brain!,Frustrated,age_55_plus,woman,employed_part_time,uk,yes_definitely,kindness_compassion,loyalty,
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,sometimes,almost_always,rarely,not_aligned_at_all,much_more_focused_energized,aligning_tasks_with_priorities_values;scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;using_apps_block_distractions;working_in_quiet_spaces,I would insist on complete solitude and silence.,Irritated.,age_55_plus,man,employed_full_time,uk,yes_definitely,integrity,honesty,integrity
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks;social_media_scrolling,rarely,rarely,sometimes,somewhat_aligned,neutral,taking_breaks_exercise;working_in_quiet_spaces,allocate specific time to focus on important tasks,indifferent,age_35_44,man,employed_part_time,au,not_really,loyalty,,integrity
